WL(nm)	PL	PE(mW/nm)
738	0.0355	0.0136
739	0.0361	0.0139
740	0.0351	0.0135
741	0.0309	0.0118
742	0.0321	0.0123
743	0.0311	0.0119
744	0.0291	0.0112
745	0.0330	0.0126
746	0.0331	0.0127
747	0.0324	0.0124
748	0.0297	0.0114
749	0.0313	0.0120
750	0.0298	0.0114
751	0.0288	0.0110
752	0.0269	0.0103
753	0.0317	0.0122
754	0.0277	0.0106
755	0.0267	0.0102
756	0.0268	0.0103
757	0.0268	0.0103
758	0.0229	0.0088
759	0.0273	0.0105
760	0.0263	0.0101
761	0.0257	0.0099
762	0.0245	0.0094
763	0.0250	0.0096
764	0.0217	0.0083
765	0.0232	0.0089
766	0.0248	0.0095
767	0.0257	0.0099
768	0.0225	0.0086
769	0.0238	0.0091
770	0.0264	0.0101
771	0.0239	0.0092
772	0.0224	0.0086
773	0.0250	0.0096
774	0.0231	0.0089
775	0.0231	0.0089
776	0.0245	0.0094
777	0.0239	0.0091
778	0.0259	0.0100
779	0.0238	0.0091
780	0.0220	0.0084
781	0.0250	0.0096
782	0.0242	0.0093
783	0.0223	0.0085
784	0.0230	0.0088
785	0.0233	0.0089
786	0.0217	0.0083
787	0.0203	0.0078
788	0.0215	0.0082
789	0.0188	0.0072
790	0.0251	0.0096
791	0.0220	0.0084
792	0.0211	0.0081
793	0.0182	0.0070
794	0.0215	0.0083
795	0.0223	0.0085
796	0.0217	0.0083
797	0.0238	0.0091
798	0.0161	0.0062
799	0.0215	0.0083
800	0.0223	0.0086
