"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"715.0","0.2581","5.4694e-002","1303.2",
"716.0","0.2692","5.7043e-002","1328.4",
"717.0","0.2817","5.9696e-002","1356.4",
"718.0","0.2926","6.2007e-002","1382.6",
"719.0","0.3060","6.4845e-002","1410.9",
"720.0","0.3195","6.7697e-002","1436.3",
"721.0","0.3308","7.0104e-002","1460.4",
"722.0","0.3417","7.2413e-002","1479.4",
"723.0","0.3515","7.4491e-002","1497.1",
"724.0","0.3656","7.7479e-002","1518.3",
"725.0","0.3792","8.0347e-002","1532.8",
"726.0","0.3904","8.2735e-002","1546.4",
"727.0","0.4004","8.4838e-002","1560.4",
"728.0","0.4117","8.7247e-002","1571.0",
"729.0","0.4249","9.0032e-002","1582.0",
"730.0","0.4360","9.2383e-002","1589.2",
"731.0","0.4454","9.4394e-002","1592.2",
"732.0","0.4518","9.5747e-002","1586.1",
"733.0","0.4622","9.7948e-002","1588.5",
"734.0","0.4729","1.0022e-001","1584.4",
"735.0","0.4764","1.0095e-001","1567.3",
"736.0","0.4792","1.0154e-001","1540.6",
"737.0","0.4816","1.0205e-001","1513.8",
"738.0","0.4798","1.0168e-001","1482.1",
"739.0","0.4755","1.0075e-001","1440.2",
"740.0","0.4663","9.8823e-002","1389.0",
"741.0","0.4566","9.6749e-002","1337.5",
"742.0","0.4451","9.4315e-002","1278.5",
"743.0","0.4275","9.0588e-002","1213.1",
"744.0","0.4073","8.6315e-002","1141.7",
"745.0","0.3882","8.2271e-002","1067.9",
"746.0","0.3668","7.7729e-002","991.8",
"747.0","0.3439","7.2871e-002","913.2",
"748.0","0.3186","6.7518e-002","840.2",
"749.0","0.2954","6.2601e-002","768.7",
"750.0","0.2711","5.7457e-002","697.3",
"751.0","0.2471","5.2364e-002","628.8",
"752.0","0.2250","4.7677e-002","567.1",
"753.0","0.2022","4.2837e-002","508.6",
"754.0","0.1823","3.8625e-002","455.4",
"755.0","0.1638","3.4704e-002","407.5",
"756.0","0.1468","3.1109e-002","364.8",
"757.0","0.1316","2.7885e-002","326.5",
"758.0","0.1170","2.4799e-002","291.2",
"759.0","0.1032","2.1861e-002","259.4",
"760.0","0.0929","1.9679e-002","235.8",
"761.0","0.0826","1.7500e-002","212.2",
"762.0","0.0726","1.5379e-002","191.1",
"763.0","0.0637","1.3493e-002","173.5",
"764.0","0.0578","1.2252e-002","160.1",
"765.0","0.0516","1.0936e-002","146.6",
"766.0","0.0447","9.4683e-003","133.0",
"767.0","0.0397","8.4198e-003","123.4",
"768.0","0.0356","7.5447e-003","115.3",
"769.0","0.0312","6.6084e-003","107.3",
"770.0","0.0270","5.7244e-003","99.9",
"771.0","0.0242","5.1249e-003","94.6",
"772.0","0.0217","4.6070e-003","90.0",
"773.0","0.0193","4.0896e-003","85.7",
"774.0","0.0173","3.6725e-003","82.3",
"775.0","0.0155","3.2914e-003","79.2",
"776.0","0.0144","3.0480e-003","77.4",
"777.0","0.0127","2.6968e-003","74.7",
"778.0","0.0113","2.4006e-003","72.4",
"779.0","0.0103","2.1867e-003","70.8",
"780.0","0.0090","1.9091e-003","68.8",
"781.0","0.0081","1.7087e-003","67.4",
"782.0","0.0074","1.5735e-003","66.4",
"783.0","0.0063","1.3317e-003","64.8",
"784.0","0.0052","1.1064e-003","63.4",
"785.0","0.0050","1.0600e-003","63.0",
"786.0","0.0056","1.1948e-003","63.6",
"787.0","0.0051","1.0707e-003","62.8",
"788.0","0.0044","9.3783e-004","62.0",
"789.0","0.0046","9.6541e-004","62.0",
"790.0","0.0035","7.4600e-004","60.8",
"791.0","0.0028","5.9640e-004","60.0",
"792.0","0.0029","6.1502e-004","60.0",
"793.0","0.0030","6.2807e-004","60.0",
"794.0","0.0030","6.3374e-004","60.0",
"795.0","0.0024","5.1195e-004","59.4",
"796.0","0.0021","4.3822e-004","59.0",
"797.0","0.0021","4.5027e-004","59.0",
"798.0","0.0021","4.5457e-004","59.0",
"799.0","0.0022","4.6018e-004","59.0",
"800.0","0.0029","6.0587e-004","59.6",
