"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"640.0","0.0003","1.3671e-004","56.0",
"641.0","0.0003","1.3639e-004","55.9",
"642.0","0.0003","1.4309e-004","56.0",
"643.0","0.0001","5.9056e-005","55.4",
"644.0","0.0002","8.8053e-005","55.6",
"645.0","0.0003","1.5009e-004","56.0",
"646.0","0.0001","6.2287e-005","55.4",
"647.0","0.0000","0.0000e+000","55.0",
"648.0","0.0002","8.5493e-005","55.5",
"649.0","0.0003","1.4856e-004","55.9",
"650.0","0.0006","2.5222e-004","56.6",
"651.0","0.0005","2.2705e-004","56.4",
"652.0","0.0001","6.5377e-005","55.4",
"653.0","0.0002","9.2693e-005","55.6",
"654.0","0.0004","1.6230e-004","56.0",
"655.0","0.0004","1.6593e-004","56.0",
"656.0","0.0002","6.9498e-005","55.4",
"657.0","0.0002","9.9771e-005","55.5",
"658.0","0.0004","1.7267e-004","56.0",
"659.0","0.0002","7.3621e-005","55.4",
"660.0","0.0005","2.1533e-004","56.1",
"661.0","0.0006","2.6538e-004","56.4",
"662.0","0.0002","8.0123e-005","55.4",
"663.0","0.0000","0.0000e+000","55.0",
"664.0","0.0000","0.0000e+000","55.0",
"665.0","0.0003","1.1953e-004","55.6",
"666.0","0.0002","8.5388e-005","55.4",
"667.0","0.0000","6.6444e-007","55.0",
"668.0","0.0000","6.8502e-006","55.0",
"669.0","0.0000","4.5543e-006","55.0",
"670.0","0.0000","0.0000e+000","55.0",
"671.0","0.0000","0.0000e+000","54.9",
"672.0","0.0000","4.8992e-007","55.0",
"673.0","0.0002","8.1331e-005","55.6",
"674.0","0.0003","1.3642e-004","56.0",
"675.0","0.0003","1.3107e-004","56.0",
"676.0","0.0001","5.3534e-005","55.4",
"677.0","0.0001","6.5079e-005","55.5",
"678.0","0.0001","4.9551e-005","55.4",
"679.0","0.0002","7.1309e-005","55.6",
"680.0","0.0001","4.9377e-005","55.4",
"681.0","0.0000","0.0000e+000","55.0",
"682.0","0.0002","7.0716e-005","55.6",
"683.0","0.0003","1.2535e-004","56.0",
"684.0","0.0001","6.0958e-005","55.5",
"685.0","0.0000","1.1209e-005","55.1",
"686.0","0.0002","8.2171e-005","55.6",
"687.0","0.0003","1.3548e-004","55.9",
"688.0","0.0005","2.2970e-004","56.5",
"689.0","0.0005","2.1548e-004","56.4",
"690.0","0.0004","1.6053e-004","56.0",
"691.0","0.0002","6.7678e-005","55.4",
"692.0","0.0000","0.0000e+000","55.0",
"693.0","0.0000","5.2011e-006","55.0",
"694.0","0.0000","1.0964e-005","55.1",
"695.0","0.0000","5.1782e-006","54.9",
"696.0","0.0000","0.0000e+000","54.9",
"697.0","0.0000","2.2859e-007","55.0",
"698.0","0.0000","1.6329e-007","55.0",
"699.0","0.0003","1.2752e-004","55.6",
"700.0","0.0014","6.3152e-004","57.7",
"701.0","0.0009","3.8606e-004","56.6",
"702.0","0.0000","0.0000e+000","54.9",
"703.0","0.0000","0.0000e+000","55.0",
"704.0","0.0003","1.5110e-004","55.6",
"705.0","0.0002","1.0793e-004","54.8",
"706.0","0.0000","0.0000e+000","54.5",
"707.0","0.0000","0.0000e+000","54.9",
"708.0","0.0000","0.0000e+000","54.4",
"709.0","0.0000","0.0000e+000","54.0",
"710.0","0.0004","1.6747e-004","55.2",
"711.0","0.0003","1.2422e-004","55.4",
"712.0","0.0000","3.6132e-006","55.0",
"713.0","0.0008","3.6793e-004","56.2",
"714.0","0.0010","4.4703e-004","56.4",
"715.0","0.0003","1.3170e-004","54.8",
"716.0","0.0004","1.8858e-004","55.1",
"717.0","0.0003","1.3471e-004","55.4",
"718.0","0.0000","0.0000e+000","55.0",
"719.0","0.0000","0.0000e+000","55.0",
"720.0","0.0000","0.0000e+000","54.4",
"721.0","0.0000","0.0000e+000","54.5",
"722.0","0.0000","0.0000e+000","53.8",
"723.0","0.0000","0.0000e+000","54.1",
"724.0","0.0000","0.0000e+000","54.4",
"725.0","0.0000","8.8990e-007","54.6",
"726.0","0.0000","6.3570e-007","55.0",
"727.0","0.0000","2.2972e-006","55.0",
"728.0","0.0000","1.6410e-006","54.4",
"729.0","0.0000","0.0000e+000","54.5",
"730.0","0.0024","1.0588e-003","57.3",
"731.0","0.0023","1.0130e-003","57.2",
"732.0","0.0010","4.5374e-004","56.0",
"733.0","0.0004","1.9320e-004","55.4",
"734.0","0.0006","2.7090e-004","55.5",
"735.0","0.0004","1.9352e-004","54.8",
"736.0","0.0000","0.0000e+000","54.6",
"737.0","0.0007","3.0076e-004","55.6",
"738.0","0.0018","8.1822e-004","56.5",
"739.0","0.0010","4.3102e-004","55.2",
"740.0","0.0000","0.0000e+000","54.6",
"741.0","0.0015","6.4738e-004","56.1",
"742.0","0.0010","4.6246e-004","55.8",
"743.0","0.0000","0.0000e+000","55.0",
"744.0","0.0016","7.1247e-004","56.2",
"745.0","0.0011","5.0895e-004","55.8",
"746.0","0.0000","0.0000e+000","54.9",
"747.0","0.0000","0.0000e+000","55.0",
"748.0","0.0008","3.5654e-004","55.5",
"749.0","0.0006","2.5469e-004","54.8",
"750.0","0.0000","0.0000e+000","54.0",
"751.0","0.0017","7.7565e-004","55.7",
"752.0","0.0012","5.5408e-004","55.8",
"753.0","0.0000","0.0000e+000","55.0",
"754.0","0.0000","0.0000e+000","53.8",
"755.0","0.0020","8.7924e-004","55.3",
"756.0","0.0014","6.2808e-004","55.8",
"757.0","0.0000","0.0000e+000","55.0",
"758.0","0.0000","0.0000e+000","53.8",
"759.0","0.0000","0.0000e+000","54.1",
"760.0","0.0000","0.0000e+000","54.9",
"761.0","0.0011","4.7338e-004","55.5",
"762.0","0.0008","3.3816e-004","54.8",
"763.0","0.0000","0.0000e+000","54.5",
"764.0","0.0011","4.9638e-004","55.5",
"765.0","0.0008","3.5459e-004","55.4",
"766.0","0.0000","0.0000e+000","55.0",
