"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"628.0","0.0970","1.2328e-002","775.3",
"629.0","0.0943","1.1986e-002","747.4",
"630.0","0.0922","1.1722e-002","720.3",
"631.0","0.0909","1.1562e-002","697.4",
"632.0","0.0893","1.1358e-002","675.7",
"633.0","0.0882","1.1209e-002","657.2",
"634.0","0.0866","1.1012e-002","637.3",
"635.0","0.0846","1.0757e-002","615.1",
"636.0","0.0827","1.0516e-002","595.0",
"637.0","0.0811","1.0314e-002","577.7",
"638.0","0.0802","1.0193e-002","565.9",
"639.0","0.0785","9.9812e-003","551.3",
"640.0","0.0771","9.8053e-003","539.0",
"641.0","0.0761","9.6775e-003","522.9",
"642.0","0.0745","9.4698e-003","504.8",
"643.0","0.0729","9.2745e-003","492.9",
"644.0","0.0713","9.0595e-003","480.9",
"645.0","0.0699","8.8916e-003","470.0",
"646.0","0.0690","8.7710e-003","461.6",
"647.0","0.0675","8.5766e-003","449.4",
"648.0","0.0658","8.3669e-003","436.5",
"649.0","0.0643","8.1706e-003","424.9",
"650.0","0.0638","8.1121e-003","417.7",
"651.0","0.0622","7.9080e-003","404.0",
"652.0","0.0605","7.6894e-003","389.8",
"653.0","0.0593","7.5452e-003","379.1",
"654.0","0.0580","7.3780e-003","367.1",
"655.0","0.0570","7.2460e-003","356.7",
"656.0","0.0557","7.0823e-003","345.5",
"657.0","0.0551","7.0026e-003","338.2",
"658.0","0.0537","6.8334e-003","327.2",
"659.0","0.0521","6.6200e-003","313.8",
"660.0","0.0516","6.5606e-003","306.2",
"661.0","0.0505","6.4155e-003","294.9",
"662.0","0.0487","6.1909e-003","281.6",
"663.0","0.0476","6.0485e-003","270.7",
"664.0","0.0465","5.9083e-003","259.6",
"665.0","0.0464","5.8957e-003","256.7",
"666.0","0.0449","5.7147e-003","250.7",
"667.0","0.0434","5.5222e-003","245.7",
"668.0","0.0433","5.5028e-003","250.7",
"669.0","0.0423","5.3781e-003","255.8",
"670.0","0.0415","5.2737e-003","264.0",
"671.0","0.0401","5.0994e-003","270.9",
"672.0","0.0387","4.9208e-003","279.1",
"673.0","0.0380","4.8342e-003","291.2",
"674.0","0.0368","4.6823e-003","299.6",
"675.0","0.0363","4.6212e-003","308.9",
"676.0","0.0357","4.5367e-003","314.1",
"677.0","0.0349","4.4365e-003","315.9",
"678.0","0.0343","4.3610e-003","315.5",
"679.0","0.0333","4.2369e-003","309.4",
"680.0","0.0326","4.1496e-003","302.0",
"681.0","0.0322","4.0911e-003","294.6",
"682.0","0.0313","3.9843e-003","283.7",
"683.0","0.0305","3.8821e-003","271.7",
"684.0","0.0300","3.8087e-003","260.8",
"685.0","0.0295","3.7474e-003","250.3",
"686.0","0.0289","3.6724e-003","239.1",
"687.0","0.0276","3.5064e-003","224.8",
"688.0","0.0270","3.4360e-003","215.2",
"689.0","0.0265","3.3731e-003","207.2",
"690.0","0.0257","3.2624e-003","197.2",
"691.0","0.0252","3.2042e-003","189.6",
"692.0","0.0252","3.2046e-003","184.8",
"693.0","0.0244","3.0964e-003","176.7",
