WL(nm)	PL	PE(mW/nm)
785	0.0000	0.0000
786	0.0000	0.0000
787	0.0000	0.0059
788	0.0000	0.0000
789	0.0000	0.0000
790	0.0000	0.0000
791	0.0000	0.0000
792	0.0000	0.0000
793	0.0000	0.0000
794	0.0000	0.0000
795	0.0000	0.0000
796	0.0000	0.0000
797	0.0000	0.0000
798	0.0000	0.0000
799	0.0000	0.0000
800	0.0000	0.0000
