"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"611.0","0.0949","1.7586e-002","6902.3",
"612.0","0.1028","1.9060e-002","7413.2",
"613.0","0.1117","2.0705e-002","7976.0",
"614.0","0.1223","2.2667e-002","8614.9",
"615.0","0.1329","2.4637e-002","9234.0",
"616.0","0.1437","2.6640e-002","9891.9",
"617.0","0.1564","2.8997e-002","10668.8",
"618.0","0.1700","3.1511e-002","11482.1",
"619.0","0.1857","3.4425e-002","12367.7",
"620.0","0.2021","3.7459e-002","13321.6",
"621.0","0.2193","4.0655e-002","14338.7",
"622.0","0.2385","4.4204e-002","15423.3",
"623.0","0.2596","4.8115e-002","16592.2",
"624.0","0.2832","5.2491e-002","17879.9",
"625.0","0.3089","5.7260e-002","19275.8",
"626.0","0.3370","6.2469e-002","20725.0",
"627.0","0.3670","6.8032e-002","22240.8",
"628.0","0.3983","7.3826e-002","23851.3",
"629.0","0.4312","7.9923e-002","25521.4",
"630.0","0.4692","8.6968e-002","27268.5",
"631.0","0.5110","9.4722e-002","29067.6",
"632.0","0.5530","1.0250e-001","30932.2",
"633.0","0.5989","1.1102e-001","32930.0",
"634.0","0.6481","1.2015e-001","35067.1",
"635.0","0.6995","1.2967e-001","37254.8",
"636.0","0.7505","1.3912e-001","39412.5",
"637.0","0.8028","1.4882e-001","41596.4",
"638.0","0.8534","1.5819e-001","43720.7",
"639.0","0.8987","1.6658e-001","45673.2",
"640.0","0.9393","1.7411e-001","47379.7",
"641.0","0.9716","1.8011e-001","47982.3",
"642.0","0.9933","1.8413e-001","48188.0",
"643.0","1.0000","1.8537e-001","48227.4",
"644.0","0.9887","1.8327e-001","47466.6",
"645.0","0.9604","1.7803e-001","45774.2",
"646.0","0.9154","1.6968e-001","43319.7",
"647.0","0.8570","1.5886e-001","40228.2",
"648.0","0.7871","1.4591e-001","36636.5",
"649.0","0.7085","1.3134e-001","32745.1",
"650.0","0.6325","1.1725e-001","28877.2",
"651.0","0.5578","1.0340e-001","25133.1",
"652.0","0.4852","8.9934e-002","21573.9",
"653.0","0.4182","7.7526e-002","18348.0",
"654.0","0.3590","6.6555e-002","15515.7",
"655.0","0.3078","5.7057e-002","13096.3",
"656.0","0.2646","4.9052e-002","11094.0",
"657.0","0.2264","4.1971e-002","9366.3",
"658.0","0.1938","3.5925e-002","7901.5",
"659.0","0.1678","3.1113e-002","6720.8",
"660.0","0.1459","2.7051e-002","5730.1",
"661.0","0.1274","2.3610e-002","4889.2",
"662.0","0.1114","2.0648e-002","4190.5",
"663.0","0.0983","1.8221e-002","3608.9",
