"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"702.0","0.2098","2.5122e-002","3620.7",
"703.0","0.2203","2.6376e-002","3706.3",
"704.0","0.2318","2.7760e-002","3808.0",
"705.0","0.2438","2.9198e-002","3895.3",
"706.0","0.2564","3.0698e-002","3985.4",
"707.0","0.2696","3.2285e-002","4089.2",
"708.0","0.2819","3.3757e-002","4184.1",
"709.0","0.2935","3.5145e-002","4253.6",
"710.0","0.3080","3.6884e-002","4366.6",
"711.0","0.3233","3.8706e-002","4477.5",
"712.0","0.3387","4.0559e-002","4570.2",
"713.0","0.3545","4.2450e-002","4677.3",
"714.0","0.3675","4.4006e-002","4756.0",
"715.0","0.3830","4.5859e-002","4835.6",
"716.0","0.3971","4.7544e-002","4903.4",
"717.0","0.4139","4.9555e-002","4989.9",
"718.0","0.4274","5.1181e-002","5060.9",
"719.0","0.4431","5.3057e-002","5123.6",
"720.0","0.4611","5.5215e-002","5202.0",
"721.0","0.4738","5.6731e-002","5251.2",
"722.0","0.4886","5.8510e-002","5312.9",
"723.0","0.5001","5.9884e-002","5351.7",
"724.0","0.5165","6.1844e-002","5391.3",
"725.0","0.5350","6.4061e-002","5438.3",
"726.0","0.5479","6.5603e-002","5458.2",
"727.0","0.5603","6.7089e-002","5493.9",
"728.0","0.5752","6.8871e-002","5522.6",
"729.0","0.5898","7.0618e-002","5527.5",
"730.0","0.6010","7.1966e-002","5515.7",
"731.0","0.6100","7.3043e-002","5489.9",
"732.0","0.6167","7.3845e-002","5450.3",
"733.0","0.6237","7.4686e-002","5398.2",
"734.0","0.6342","7.5945e-002","5350.0",
"735.0","0.6349","7.6025e-002","5258.8",
"736.0","0.6357","7.6124e-002","5143.1",
"737.0","0.6331","7.5809e-002","5006.4",
"738.0","0.6256","7.4913e-002","4858.8",
"739.0","0.6141","7.3535e-002","4674.2",
"740.0","0.5965","7.1430e-002","4460.3",
"741.0","0.5776","6.9164e-002","4243.7",
"742.0","0.5565","6.6642e-002","4004.3",
"743.0","0.5299","6.3449e-002","3760.1",
"744.0","0.5009","5.9977e-002","3504.2",
"745.0","0.4737","5.6716e-002","3244.2",
"746.0","0.4464","5.3456e-002","2997.1",
"747.0","0.4161","4.9826e-002","2734.4",
"748.0","0.3820","4.5738e-002","2483.3",
"749.0","0.3500","4.1904e-002","2236.1",
"750.0","0.3210","3.8435e-002","2015.9",
"751.0","0.2936","3.5152e-002","1812.5",
"752.0","0.2656","3.1798e-002","1612.8",
"753.0","0.2374","2.8423e-002","1427.2",
"754.0","0.2134","2.5558e-002","1262.6",
"755.0","0.1914","2.2919e-002","1115.7",
"756.0","0.1721","2.0604e-002","989.2",
"757.0","0.1550","1.8565e-002","877.6",
"758.0","0.1390","1.6649e-002","776.0",
"759.0","0.1245","1.4903e-002","688.1",
"760.0","0.1103","1.3204e-002","605.7",
"761.0","0.0991","1.1861e-002","538.0",
"762.0","0.0888","1.0628e-002","480.9",
"763.0","0.0782","9.3608e-003","426.5",
"764.0","0.0702","8.4088e-003","380.8",
"765.0","0.0645","7.7178e-003","346.2",
"766.0","0.0581","6.9531e-003","312.2",
"767.0","0.0516","6.1732e-003","279.5",
"768.0","0.0466","5.5805e-003","254.3",
"769.0","0.0417","4.9980e-003","231.1",
"770.0","0.0374","4.4769e-003","210.5",
"771.0","0.0334","3.9960e-003","191.2",
"772.0","0.0298","3.5725e-003","174.1",
"773.0","0.0278","3.3339e-003","163.9",
"774.0","0.0253","3.0267e-003","152.3",
"775.0","0.0223","2.6750e-003","139.7",
"776.0","0.0207","2.4738e-003","132.7",
"777.0","0.0193","2.3153e-003","126.3",
"778.0","0.0174","2.0871e-003","118.3",
"779.0","0.0159","1.9036e-003","112.0",
"780.0","0.0151","1.8076e-003","108.2",
"781.0","0.0145","1.7313e-003","105.3",
"782.0","0.0129","1.5462e-003","99.4",
"783.0","0.0120","1.4342e-003","95.4",
"784.0","0.0118","1.4177e-003","94.4",
"785.0","0.0110","1.3141e-003","91.1",
"786.0","0.0104","1.2429e-003","88.4",
"787.0","0.0098","1.1759e-003","86.3",
"788.0","0.0090","1.0775e-003","83.3",
"789.0","0.0086","1.0274e-003","81.4",
"790.0","0.0087","1.0442e-003","81.5",
"791.0","0.0082","9.8423e-004","79.7",
"792.0","0.0074","8.8639e-004","76.9",
"793.0","0.0072","8.6683e-004","76.0",
"794.0","0.0074","8.8259e-004","76.0",
"795.0","0.0072","8.6556e-004","75.4",
"796.0","0.0065","7.7884e-004","73.2",
"797.0","0.0062","7.3699e-004","72.0",
"798.0","0.0056","6.6603e-004","70.3",
"799.0","0.0058","6.9943e-004","70.7",
"800.0","0.0057","6.7797e-004","70.2",
