"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"731.0","0.4170","6.1230e-002","1011.7",
"732.0","0.4230","6.2107e-002","1007.9",
"733.0","0.4298","6.3104e-002","1003.0",
"734.0","0.4364","6.4075e-002","993.2",
"735.0","0.4388","6.4427e-002","981.0",
"736.0","0.4415","6.4820e-002","964.8",
"737.0","0.4416","6.4848e-002","944.4",
"738.0","0.4383","6.4355e-002","921.6",
"739.0","0.4325","6.3505e-002","892.7",
"740.0","0.4253","6.2447e-002","863.8",
"741.0","0.4138","6.0755e-002","827.8",
"742.0","0.4003","5.8782e-002","786.6",
"743.0","0.3828","5.6205e-002","744.4",
"744.0","0.3615","5.3086e-002","696.3",
"745.0","0.3440","5.0517e-002","651.7",
"746.0","0.3252","4.7751e-002","607.1",
"747.0","0.3048","4.4753e-002","560.6",
"748.0","0.2835","4.1626e-002","519.4",
"749.0","0.2622","3.8500e-002","476.1",
"750.0","0.2397","3.5203e-002","432.5",
"751.0","0.2186","3.2096e-002","392.4",
"752.0","0.1987","2.9174e-002","355.5",
"753.0","0.1800","2.6435e-002","323.4",
"754.0","0.1638","2.4046e-002","294.0",
"755.0","0.1473","2.1623e-002","265.6",
"756.0","0.1316","1.9321e-002","239.4",
"757.0","0.1181","1.7347e-002","216.9",
"758.0","0.1074","1.5765e-002","198.9",
"759.0","0.0950","1.3944e-002","179.9",
"760.0","0.0831","1.2199e-002","162.4",
"761.0","0.0750","1.1006e-002","149.7",
"762.0","0.0663","9.7335e-003","137.5",
"763.0","0.0587","8.6131e-003","127.3",
"764.0","0.0534","7.8355e-003","119.3",
"765.0","0.0479","7.0327e-003","111.3",
"766.0","0.0424","6.2244e-003","103.9",
"767.0","0.0380","5.5784e-003","98.2",
"768.0","0.0347","5.0935e-003","93.8",
"769.0","0.0315","4.6208e-003","89.8",
"770.0","0.0281","4.1332e-003","85.8",
"771.0","0.0243","3.5625e-003","81.1",
"772.0","0.0216","3.1745e-003","77.8",
"773.0","0.0206","3.0314e-003","76.4",
"774.0","0.0182","2.6708e-003","73.7",
"775.0","0.0162","2.3764e-003","71.4",
"776.0","0.0153","2.2495e-003","70.5",
"777.0","0.0140","2.0557e-003","68.9",
"778.0","0.0121","1.7734e-003","66.9",
"779.0","0.0113","1.6603e-003","66.1",
"780.0","0.0115","1.6880e-003","66.0",
"781.0","0.0124","1.8158e-003","66.6",
"782.0","0.0110","1.6100e-003","65.3",
"783.0","0.0082","1.2095e-003","62.8",
"784.0","0.0081","1.1901e-003","62.6",
"785.0","0.0074","1.0793e-003","61.9",
"786.0","0.0065","9.5839e-004","61.1",
"787.0","0.0066","9.7558e-004","61.1",
"788.0","0.0059","8.7121e-004","60.5",
"789.0","0.0063","9.2389e-004","60.6",
"790.0","0.0061","9.0221e-004","60.4",
"791.0","0.0057","8.3298e-004","60.0",
"792.0","0.0058","8.4703e-004","60.0",
"793.0","0.0050","7.4081e-004","59.4",
"794.0","0.0046","6.7137e-004","59.0",
"795.0","0.0047","6.8485e-004","59.0",
"796.0","0.0048","7.0423e-004","59.1",
"797.0","0.0039","5.7976e-004","58.5",
"798.0","0.0033","4.9045e-004","58.0",
"799.0","0.0044","6.4080e-004","58.6",
"800.0","0.0031","4.5377e-004","57.9",
