WL(nm)	PL	PE(mW/nm)
734	0.0205	3.0128
735	0.0202	2.9815
736	0.0187	2.7564
737	0.0189	2.7855
738	0.0186	2.7427
739	0.0185	2.7288
740	0.0176	2.5988
741	0.0174	2.5667
742	0.0164	2.4107
743	0.0165	2.4241
744	0.0161	2.3685
745	0.0157	2.3168
746	0.0153	2.2504
747	0.0143	2.1112
748	0.0142	2.0927
749	0.0140	2.0677
750	0.0140	2.0554
751	0.0131	1.9244
752	0.0127	1.8700
753	0.0129	1.8956
754	0.0123	1.8170
755	0.0119	1.7584
756	0.0119	1.7569
757	0.0114	1.6803
758	0.0110	1.6234
759	0.0108	1.5888
760	0.0106	1.5587
761	0.0106	1.5546
762	0.0106	1.5642
763	0.0098	1.4412
764	0.0094	1.3914
765	0.0095	1.4046
766	0.0086	1.2598
767	0.0092	1.3526
768	0.0094	1.3875
769	0.0081	1.1895
770	0.0079	1.1614
771	0.0079	1.1592
772	0.0077	1.1341
773	0.0075	1.1060
774	0.0081	1.1921
775	0.0073	1.0721
776	0.0075	1.1093
777	0.0073	1.0724
778	0.0069	1.0120
779	0.0067	0.9863
780	0.0062	0.9137
781	0.0063	0.9252
782	0.0066	0.9674
783	0.0061	0.9011
784	0.0060	0.8884
785	0.0053	0.7815
786	0.0052	0.7646
787	0.0052	0.7682
788	0.0055	0.8068
789	0.0058	0.8527
790	0.0061	0.9045
791	0.0052	0.7686
792	0.0049	0.7270
793	0.0049	0.7180
794	0.0047	0.6858
795	0.0049	0.7204
796	0.0048	0.6999
797	0.0048	0.7097
798	0.0046	0.6715
799	0.0039	0.5782
800	0.0040	0.5941
