WL(nm)	PL	PE(mW/nm)
761	0.0003	0.1949
762	0.0003	0.1997
763	0.0003	0.2014
764	0.0003	0.2121
765	0.0003	0.1810
766	0.0003	0.2150
767	0.0003	0.1979
768	0.0003	0.1815
769	0.0003	0.2051
770	0.0004	0.2361
771	0.0003	0.1956
772	0.0004	0.2468
773	0.0004	0.2751
774	0.0004	0.2323
775	0.0004	0.2773
776	0.0003	0.1988
777	0.0004	0.2270
778	0.0004	0.2350
779	0.0003	0.1966
780	0.0004	0.2427
781	0.0004	0.2595
782	0.0003	0.2184
783	0.0004	0.2674
784	0.0004	0.2349
785	0.0004	0.2428
786	0.0004	0.2367
787	0.0003	0.2213
788	0.0004	0.2384
789	0.0004	0.2406
790	0.0004	0.2334
791	0.0004	0.2361
792	0.0005	0.3016
793	0.0004	0.2819
794	0.0004	0.2544
795	0.0004	0.2383
796	0.0004	0.2542
797	0.0005	0.2924
798	0.0004	0.2586
799	0.0005	0.3081
800	0.0005	0.3370
